tiempo,posicion,velocidad,regimen
0,1,0,transitorio
0.01,0.9997,-0.03,transitorio
0.02,0.999106,-0.05939,transitorio
0.03,0.998224,-0.0881744,transitorio
0.04,0.997061,-0.116358,transitorio
0.05,0.995621,-0.143945,transitorio
0.06,0.993912,-0.170941,transitorio
0.07,0.991938,-0.197351,transitorio
0.08,0.989707,-0.223179,transitorio
0.09,0.987222,-0.248431,transitorio
0.1,0.984491,-0.273113,transitorio
0.11,0.981519,-0.29723,transitorio
0.12,0.978311,-0.320787,transitorio
0.13,0.974873,-0.34379,transitorio
0.14,0.971211,-0.366246,transitorio
0.15,0.967329,-0.388159,transitorio
0.16,0.963234,-0.409535,transitorio
0.17,0.95893,-0.430382,transitorio
0.18,0.954423,-0.450704,transitorio
0.19,0.949718,-0.470507,transitorio
0.2,0.94482,-0.489799,transitorio
0.21,0.939734,-0.508586,transitorio
0.22,0.934465,-0.526872,transitorio
0.23,0.929019,-0.544666,transitorio
0.24,0.923399,-0.561973,transitorio
0.25,0.917611,-0.578799,transitorio
0.26,0.911659,-0.595152,transitorio
0.27,0.905549,-0.611037,transitorio
0.28,0.899284,-0.626461,transitorio
0.29,0.89287,-0.641431,transitorio
0.3,0.88631,-0.655952,transitorio
0.31,0.87961,-0.670032,transitorio
0.32,0.872773,-0.683677,transitorio
0.33,0.865804,-0.696894,transitorio
0.34,0.858708,-0.709688,transitorio
0.35,0.851487,-0.722067,transitorio
0.36,0.844147,-0.734037,transitorio
0.37,0.83669,-0.745604,transitorio
0.38,0.829123,-0.756775,transitorio
0.39,0.821447,-0.767556,transitorio
0.4,0.813668,-0.777953,transitorio
0.41,0.805788,-0.787974,transitorio
0.42,0.797812,-0.797624,transitorio
0.43,0.789743,-0.806909,transitorio
0.44,0.781584,-0.815836,transitorio
0.45,0.77334,-0.824411,transitorio
0.46,0.765014,-0.832641,transitorio
0.47,0.756608,-0.84053,transitorio
0.48,0.748128,-0.848086,transitorio
0.49,0.739574,-0.855314,transitorio
0.5,0.730952,-0.862221,estacionario
0.51,0.722264,-0.868811,estacionario
0.52,0.713513,-0.875092,estacionario
0.53,0.704702,-0.881069,estacionario
0.54,0.695835,-0.886747,estacionario
0.55,0.686914,-0.892132,estacionario
0.56,0.677941,-0.89723,estacionario
0.57,0.668921,-0.902046,estacionario
0.58,0.659855,-0.906586,estacionario
0.59,0.650747,-0.910855,estacionario
0.6,0.641598,-0.914858,estacionario
0.61,0.632412,-0.918602,estacionario
0.62,0.623191,-0.92209,estacionario
0.63,0.613938,-0.925328,estacionario
0.64,0.604655,-0.92832,estacionario
0.65,0.595344,-0.931073,estacionario
0.66,0.586008,-0.93359,estacionario
0.67,0.576649,-0.935877,estacionario
0.68,0.56727,-0.937938,estacionario
0.69,0.557872,-0.939778,estacionario
0.7,0.548458,-0.9414,estacionario
0.71,0.53903,-0.942811,estacionario
0.72,0.52959,-0.944014,estacionario
0.73,0.52014,-0.945013,estacionario
0.74,0.510681,-0.945813,estacionario
0.75,0.501217,-0.946417,estacionario
0.76,0.491749,-0.94683,estacionario
0.77,0.482278,-0.947055,estacionario
0.78,0.472807,-0.947098,estacionario
0.79,0.463338,-0.94696,estacionario
0.8,0.453871,-0.946646,estacionario
0.81,0.44441,-0.94616,estacionario
0.82,0.434955,-0.945505,estacionario
0.83,0.425508,-0.944685,estacionario
0.84,0.416071,-0.943702,estacionario
0.85,0.406645,-0.942561,estacionario
0.86,0.397233,-0.941264,estacionario
0.87,0.387834,-0.939815,estacionario
0.88,0.378452,-0.938216,estacionario
0.89,0.369088,-0.93647,estacionario
0.9,0.359742,-0.934581,estacionario
0.91,0.350416,-0.932551,estacionario
0.92,0.341112,-0.930383,estacionario
0.93,0.331832,-0.92808,estacionario
0.94,0.322575,-0.925643,estacionario
0.95,0.313345,-0.923076,estacionario
0.96,0.304141,-0.920381,estacionario
0.97,0.294965,-0.917561,estacionario
0.98,0.285819,-0.914617,estacionario
0.99,0.276703,-0.911552,estacionario
1,0.26762,-0.908368,estacionario
1.01,0.258569,-0.905067,estacionario
1.02,0.249553,-0.901651,estacionario
1.03,0.240571,-0.898121,estacionario
1.04,0.231627,-0.894481,estacionario
1.05,0.222719,-0.890731,estacionario
1.06,0.21385,-0.886874,estacionario
1.07,0.205021,-0.882911,estacionario
1.08,0.196233,-0.878843,estacionario
1.09,0.187486,-0.874672,estacionario
1.1,0.178782,-0.8704,estacionario
1.11,0.170122,-0.866029,estacionario
1.12,0.161506,-0.861559,estacionario
1.13,0.152936,-0.856991,estacionario
1.14,0.144413,-0.852328,estacionario
1.15,0.135937,-0.84757,estacionario
1.16,0.12751,-0.842719,estacionario
1.17,0.119132,-0.837776,estacionario
1.18,0.110805,-0.832741,estacionario
1.19,0.102529,-0.827617,estacionario
1.2,0.0943049,-0.822403,estacionario
1.21,0.0861339,-0.817101,estacionario
1.22,0.0780167,-0.811712,estacionario
1.23,0.0699544,-0.806236,estacionario
1.24,0.0619476,-0.800675,estacionario
1.25,0.0539973,-0.79503,estacionario
1.26,0.0461043,-0.789301,estacionario
1.27,0.0382694,-0.783488,estacionario
1.28,0.0304935,-0.777594,estacionario
1.29,0.0227773,-0.771618,estacionario
1.3,0.0151217,-0.76556,estacionario
1.31,0.00752748,-0.759423,estacionario
1.32,-4.57431e-06,-0.753206,estacionario
1.33,-0.00747367,-0.74691,estacionario
1.34,-0.014879,-0.740535,estacionario
1.35,-0.0222198,-0.734083,estacionario
1.36,-0.0294954,-0.727553,estacionario
1.37,-0.0367048,-0.720946,estacionario
1.38,-0.0438475,-0.714264,estacionario
1.39,-0.0509225,-0.707505,estacionario
1.4,-0.0579293,-0.700672,estacionario
1.41,-0.0648669,-0.693763,estacionario
1.42,-0.0717347,-0.686781,estacionario
1.43,-0.0785319,-0.679724,estacionario
1.44,-0.0852579,-0.672595,estacionario
1.45,-0.0919118,-0.665392,estacionario
1.46,-0.098493,-0.658118,estacionario
1.47,-0.105001,-0.650771,estacionario
1.48,-0.111434,-0.643353,estacionario
1.49,-0.117793,-0.635864,estacionario
1.5,-0.124076,-0.628305,estacionario
1.51,-0.130283,-0.620676,estacionario
1.52,-0.136412,-0.612977,estacionario
1.53,-0.142465,-0.605209,estacionario
1.54,-0.148438,-0.597373,estacionario
1.55,-0.154333,-0.589469,estacionario
1.56,-0.160148,-0.581498,estacionario
1.57,-0.165883,-0.57346,estacionario
1.58,-0.171536,-0.565355,estacionario
1.59,-0.177108,-0.557185,estacionario
1.6,-0.182597,-0.54895,estacionario
1.61,-0.188004,-0.54065,estacionario
1.62,-0.193327,-0.532286,estacionario
1.63,-0.198565,-0.523859,estacionario
1.64,-0.203719,-0.515369,estacionario
1.65,-0.208787,-0.506817,estacionario
1.66,-0.213769,-0.498204,estacionario
1.67,-0.218665,-0.489531,estacionario
1.68,-0.223473,-0.480797,estacionario
1.69,-0.228193,-0.472005,estacionario
1.7,-0.232824,-0.463154,estacionario
1.71,-0.237367,-0.454246,estacionario
1.72,-0.241819,-0.445281,estacionario
1.73,-0.246182,-0.436261,estacionario
1.74,-0.250454,-0.427186,estacionario
1.75,-0.254634,-0.418057,estacionario
1.76,-0.258723,-0.408875,estacionario
1.77,-0.26272,-0.399641,estacionario
1.78,-0.266623,-0.390356,estacionario
