tiempo,posicion,velocidad,regimen
0,1,0,transitorio
0.01,0.9996,-0.04,transitorio
0.02,0.998804,-0.079584,transitorio
0.03,0.997617,-0.11874,transitorio
0.04,0.996042,-0.157458,transitorio
0.05,0.994085,-0.195725,transitorio
0.06,0.99175,-0.233531,transitorio
0.07,0.989041,-0.270866,transitorio
0.08,0.985964,-0.307719,transitorio
0.09,0.982523,-0.34408,transitorio
0.1,0.978724,-0.37994,transitorio
0.11,0.974571,-0.41529,transitorio
0.12,0.970069,-0.450119,transitorio
0.13,0.965225,-0.484421,transitorio
0.14,0.960043,-0.518186,transitorio
0.15,0.954529,-0.551406,transitorio
0.16,0.948689,-0.584073,transitorio
0.17,0.942527,-0.61618,transitorio
0.18,0.93605,-0.647719,transitorio
0.19,0.929263,-0.678684,transitorio
0.2,0.922172,-0.709067,transitorio
0.21,0.914784,-0.738864,transitorio
0.22,0.907103,-0.768066,transitorio
0.23,0.899136,-0.79667,transitorio
0.24,0.890889,-0.824669,transitorio
0.25,0.882369,-0.852057,transitorio
0.26,0.873581,-0.878832,transitorio
0.27,0.864531,-0.904987,transitorio
0.28,0.855226,-0.930518,transitorio
0.29,0.845671,-0.955422,transitorio
0.3,0.835874,-0.979694,transitorio
0.31,0.825841,-1.00333,transitorio
0.32,0.815578,-1.02633,transitorio
0.33,0.805091,-1.04869,transitorio
0.34,0.794387,-1.07041,transitorio
0.35,0.783472,-1.09148,transitorio
0.36,0.772353,-1.1119,transitorio
0.37,0.761036,-1.13168,transitorio
0.38,0.749528,-1.1508,transitorio
0.39,0.737835,-1.16928,transitorio
0.4,0.725964,-1.1871,transitorio
0.41,0.713922,-1.20427,transitorio
0.42,0.701714,-1.22078,transitorio
0.43,0.689347,-1.23664,transitorio
0.44,0.676829,-1.25185,transitorio
0.45,0.664165,-1.2664,transitorio
0.46,0.651362,-1.28031,transitorio
0.47,0.638426,-1.29356,transitorio
0.48,0.625365,-1.30616,transitorio
0.49,0.612184,-1.31811,transitorio
0.5,0.598889,-1.32942,transitorio
