tiempo,posicion,velocidad,regimen
0,1,0,transitorio
0.01,0.9997,-0.03,transitorio
0.02,0.999103,-0.05969,transitorio
0.03,0.998212,-0.0890652,transitorio
0.04,0.997031,-0.118121,transitorio
0.05,0.995563,-0.146853,transitorio
0.06,0.99381,-0.175257,transitorio
0.07,0.991777,-0.203329,transitorio
0.08,0.989466,-0.231064,transitorio
0.09,0.986882,-0.25846,transitorio
0.1,0.984026,-0.285512,transitorio
0.11,0.980904,-0.312218,transitorio
0.12,0.977519,-0.338573,transitorio
0.13,0.973873,-0.364574,transitorio
0.14,0.969971,-0.39022,transitorio
0.15,0.965816,-0.415506,transitorio
0.16,0.961411,-0.44043,transitorio
0.17,0.956761,-0.46499,transitorio
0.18,0.95187,-0.489183,transitorio
0.19,0.946739,-0.513007,transitorio
0.2,0.941375,-0.536459,transitorio
0.21,0.93578,-0.559539,transitorio
0.22,0.929957,-0.582244,transitorio
0.23,0.923911,-0.604573,transitorio
0.24,0.917646,-0.626523,transitorio
0.25,0.911165,-0.648093,transitorio
0.26,0.904472,-0.669283,transitorio
0.27,0.897571,-0.690091,transitorio
0.28,0.890466,-0.710516,transitorio
0.29,0.883161,-0.730557,transitorio
0.3,0.875659,-0.750213,transitorio
0.31,0.867964,-0.769484,transitorio
0.32,0.86008,-0.788369,transitorio
0.33,0.852011,-0.806867,transitorio
0.34,0.843762,-0.824979,transitorio
0.35,0.835335,-0.842704,transitorio
0.36,0.826734,-0.860042,transitorio
0.37,0.817964,-0.876993,transitorio
0.38,0.809029,-0.893557,transitorio
0.39,0.799931,-0.909734,transitorio
0.4,0.790676,-0.925525,transitorio
0.41,0.781267,-0.94093,transitorio
0.42,0.771707,-0.955949,transitorio
0.43,0.762001,-0.970583,transitorio
0.44,0.752153,-0.984833,transitorio
0.45,0.742166,-0.998699,transitorio
0.46,0.732044,-1.01218,transitorio
0.47,0.721791,-1.02528,transitorio
0.48,0.711411,-1.03801,transitorio
0.49,0.700908,-1.05035,transitorio
0.5,0.690285,-1.06231,transitorio
0.51,0.679546,-1.07389,transitorio
0.52,0.668695,-1.0851,transitorio
0.53,0.657735,-1.09594,transitorio
0.54,0.646671,-1.1064,transitorio
0.55,0.635507,-1.11649,transitorio
0.56,0.624244,-1.12621,transitorio
0.57,0.612889,-1.13556,transitorio
0.58,0.601443,-1.14454,transitorio
0.59,0.589912,-1.15316,transitorio
0.6,0.578298,-1.16142,transitorio
0.61,0.566605,-1.16931,transitorio
0.62,0.554836,-1.17685,transitorio
0.63,0.542996,-1.18402,transitorio
0.64,0.531087,-1.19085,transitorio
0.65,0.519114,-1.19731,transitorio
0.66,0.50708,-1.20343,transitorio
0.67,0.494988,-1.2092,transitorio
0.68,0.482842,-1.21462,transitorio
0.69,0.470645,-1.21969,transitorio
0.7,0.458401,-1.22442,transitorio
0.71,0.446112,-1.22882,transitorio
0.72,0.433784,-1.23287,transitorio
0.73,0.421418,-1.23659,transitorio
0.74,0.409018,-1.23997,transitorio
0.75,0.396588,-1.24303,transitorio
0.76,0.38413,-1.24575,transitorio
0.77,0.371649,-1.24815,transitorio
0.78,0.359146,-1.25023,transitorio
0.79,0.346627,-1.25199,transitorio
0.8,0.334092,-1.25342,transitorio
0.81,0.321547,-1.25454,transitorio
0.82,0.308993,-1.25535,transitorio
0.83,0.296435,-1.25585,transitorio
0.84,0.283874,-1.25604,transitorio
0.85,0.271315,-1.25592,transitorio
0.86,0.25876,-1.25551,transitorio
0.87,0.246212,-1.25479,transitorio
0.88,0.233675,-1.25377,transitorio
0.89,0.22115,-1.25246,transitorio
0.9,0.208641,-1.25086,transitorio
0.91,0.196152,-1.24897,transitorio
0.92,0.183684,-1.24679,transitorio
0.93,0.17124,-1.24433,transitorio
0.94,0.158824,-1.24159,transitorio
0.95,0.146439,-1.23857,transitorio
0.96,0.134086,-1.23528,transitorio
0.97,0.121769,-1.23171,transitorio
0.98,0.10949,-1.22787,transitorio
0.99,0.0972525,-1.22377,transitorio
1,0.0850586,-1.2194,estacionario
1.01,0.0729109,-1.21477,estacionario
1.02,0.0608121,-1.20988,estacionario
1.03,0.0487648,-1.20473,estacionario
1.04,0.0367715,-1.19934,estacionario
1.05,0.0248346,-1.19369,estacionario
1.06,0.0129567,-1.18779,estacionario
1.07,0.00114012,-1.18165,estacionario
1.08,-0.0106126,-1.17527,estacionario
1.09,-0.0222991,-1.16865,estacionario
1.1,-0.0339171,-1.1618,estacionario
1.11,-0.0454641,-1.15471,estacionario
1.12,-0.056938,-1.14739,estacionario
1.13,-0.0683364,-1.13984,estacionario
1.14,-0.079657,-1.13207,estacionario
1.15,-0.0908977,-1.12407,estacionario
1.16,-0.102056,-1.11586,estacionario
1.17,-0.113131,-1.10743,estacionario
1.18,-0.124118,-1.09878,estacionario
1.19,-0.135018,-1.08993,estacionario
1.2,-0.145826,-1.08087,estacionario
1.21,-0.156542,-1.0716,estacionario
1.22,-0.167164,-1.06213,estacionario
1.23,-0.177688,-1.05246,estacionario
1.24,-0.188114,-1.04259,estacionario
1.25,-0.198439,-1.03253,estacionario
1.26,-0.208662,-1.02228,estacionario
1.27,-0.218781,-1.01184,estacionario
1.28,-0.228793,-1.00121,estacionario
1.29,-0.238697,-0.990407,estacionario
1.3,-0.248491,-0.979419,estacionario
1.31,-0.258174,-0.968254,estacionario
1.32,-0.267743,-0.956915,estacionario
1.33,-0.277197,-0.945404,estacionario
1.34,-0.286534,-0.933725,estacionario
1.35,-0.295753,-0.92188,estacionario
1.36,-0.304851,-0.909871,estacionario
1.37,-0.313828,-0.897703,estacionario
1.38,-0.322682,-0.885377,estacionario
1.39,-0.331411,-0.872897,estacionario
1.4,-0.340014,-0.860265,estacionario
1.41,-0.348489,-0.847484,estacionario
1.42,-0.356834,-0.834557,estacionario
1.43,-0.365049,-0.821486,estacionario
1.44,-0.373132,-0.808276,estacionario
1.45,-0.381081,-0.794928,estacionario
1.46,-0.388896,-0.781445,estacionario
1.47,-0.396574,-0.76783,estacionario
1.48,-0.404115,-0.754086,estacionario
1.49,-0.411517,-0.740216,estacionario
1.5,-0.418779,-0.726223,estacionario
1.51,-0.4259,-0.71211,estacionario
1.52,-0.432879,-0.697879,estacionario
1.53,-0.439714,-0.683533,estacionario
1.54,-0.446405,-0.669076,estacionario
1.55,-0.45295,-0.65451,estacionario
1.56,-0.459349,-0.639838,estacionario
1.57,-0.465599,-0.625064,estacionario
1.58,-0.471701,-0.610189,estacionario
1.59,-0.477653,-0.595217,estacionario
1.6,-0.483455,-0.580152,estacionario
1.61,-0.489105,-0.564995,estacionario
1.62,-0.494602,-0.54975,estacionario
1.63,-0.499946,-0.53442,estacionario
1.64,-0.505137,-0.519008,estacionario
1.65,-0.510172,-0.503517,estacionario
1.66,-0.515051,-0.48795,estacionario
1.67,-0.519774,-0.472309,estacionario
1.68,-0.52434,-0.456599,estacionario
1.69,-0.528749,-0.440822,estacionario
1.7,-0.532998,-0.424981,estacionario
1.71,-0.537089,-0.409079,estacionario
1.72,-0.54102,-0.39312,estacionario
1.73,-0.544791,-0.377106,estacionario
1.74,-0.548402,-0.36104,estacionario
1.75,-0.551851,-0.344927,estacionario
1.76,-0.555139,-0.328768,estacionario
1.77,-0.558264,-0.312567,estacionario
