tiempo,posicion,velocidad,regimen
0,1,0,transitorio
0.01,0.9996,-0.04,transitorio
0.02,0.998802,-0.079784,transitorio
0.03,0.997609,-0.119337,transitorio
0.04,0.996022,-0.158645,transitorio
0.05,0.994045,-0.197693,transitorio
0.06,0.991681,-0.236466,transitorio
0.07,0.988931,-0.274951,transitorio
0.08,0.9858,-0.313133,transitorio
0.09,0.98229,-0.351,transitorio
0.1,0.978405,-0.388536,transitorio
0.11,0.974147,-0.42573,transitorio
0.12,0.969522,-0.462567,transitorio
0.13,0.964531,-0.499035,transitorio
0.14,0.95918,-0.535121,transitorio
0.15,0.953472,-0.570813,transitorio
0.16,0.947411,-0.606097,transitorio
0.17,0.941001,-0.640963,transitorio
0.18,0.934247,-0.675399,transitorio
0.19,0.927153,-0.709392,transitorio
0.2,0.919724,-0.742931,transitorio
0.21,0.911964,-0.776005,transitorio
0.22,0.903878,-0.808604,transitorio
0.23,0.895471,-0.840716,transitorio
0.24,0.886748,-0.872331,transitorio
0.25,0.877713,-0.903439,transitorio
0.26,0.868373,-0.93403,transitorio
0.27,0.858732,-0.964095,transitorio
0.28,0.848796,-0.993624,transitorio
0.29,0.83857,-1.02261,transitorio
0.3,0.828059,-1.05104,transitorio
0.31,0.81727,-1.0789,transitorio
0.32,0.806208,-1.1062,transitorio
0.33,0.794879,-1.13292,transitorio
0.34,0.783288,-1.15905,transitorio
0.35,0.771443,-1.18459,transitorio
0.36,0.759347,-1.20952,transitorio
0.37,0.747009,-1.23385,transitorio
0.38,0.734433,-1.25756,transitorio
0.39,0.721627,-1.28065,transitorio
0.4,0.708596,-1.30311,transitorio
0.41,0.695346,-1.32494,transitorio
0.42,0.681885,-1.34613,transitorio
0.43,0.668218,-1.36667,transitorio
0.44,0.654353,-1.38657,transitorio
0.45,0.640295,-1.40581,transitorio
0.46,0.626051,-1.42439,transitorio
0.47,0.611628,-1.44231,transitorio
0.48,0.597032,-1.45956,transitorio
0.49,0.582271,-1.47615,transitorio
0.5,0.56735,-1.49206,transitorio
